,NASDAQ,USD-GBP,USD-JPY,USD-CAD,Bitcoin
2018-11-16,0.9264241544055462,1.0137167391261008,1.0384419979366735,0.9958055797835166,1.241117243862986
2018-11-19,0.9290340940514423,1.0084495222751644,1.030897535104373,0.9938778607489662,1.4204917405647344
2018-11-20,0.9127480961487425,1.0063659466507682,1.028272943367958,0.9957753887654439,1.554383080303666
2018-11-21,0.9109733563053021,1.0119178800108914,1.0306506205912365,1.0058604505159032,1.5036193219599348
2018-11-22,0.9109733563053021,1.0128625895985401,1.0335586860961943,0.9998124235551907,1.5849760289103456
2018-11-23,0.9172371955256453,1.0050976429812883,1.033165395022289,0.9972117602461669,1.5918419183831698
2018-11-26,0.9336276133159113,1.0100931025139193,1.0326258669267576,0.9998880362840354,1.831086189871722
2018-11-27,0.9339407933295729,1.0100931025139193,1.0379755883519552,1.0019670708987172,1.811154034316073
2018-11-28,0.9388474926077035,1.0155285574321915,1.0403806850167883,1.0051346944904131,1.6253765566950487
2018-11-29,0.9436497719982678,1.009161274979111,1.0384419979366735,1.0036680418691755,1.6172373414315748
2018-11-30,0.9533587506669627,1.0122931565801665,1.037125167046326,1.0035924291403309,1.722541837459147
2018-12-03,0.9672436486988989,1.0147520859118786,1.040344125761382,1.0021257765190932,1.777010374700766
2018-12-04,0.943754191885834,1.0169521399781258,1.0387346115190683,0.9977485295107663,1.7488242081994496
2018-12-05,0.943754191885834,1.0173792533109265,1.0306139915662584,1.0020804449307632,1.8433461673340854
2018-12-06,0.9384298927064756,1.0168098202925528,1.0338330200508858,1.0100184296228247,1.9652686474327783
2018-12-07,0.9120173162338531,1.0127590703475706,1.0305225934277422,1.0125661910583899,2.023402993459119
2018-12-10,0.9093029567003909,1.0173403757382822,1.0288124714634894,1.007553851201233,1.9756181830683168
2018-12-11,0.9114952964450591,1.0302820562844233,1.035021823777739,1.012883692421584,2.0206549459441465
2018-12-12,0.9133744561760657,1.035911667651794,1.0368782525331894,1.0114094695152176,1.9845170637936063
